"Conglomerado","Vivienda","HOGAR","ID_ADULTO","DIA","MES","HORA_INICIO","MIN_INICIO","HORA_FINAL","MIN_FINAL","701_ACTIVIDAD_FISICA_VIGOROSA_DIAS","702_ACTIVIDAD_FISICA_VIGOROSA_HORAS","702_ACTIVIDAD_FISICA_VIGOROSA_MINUTOS","703_ACTIVIDAD_FISICA_MODERADA_DIAS","704_ACTIVIDAD_FISICA_MODERADA_HORAS","704_ACTIVIDAD_FISICA_MODERADA_MINUTOS","705_CAMINAR_DIAS","706_CAMINAR_HORAS","706_CAMINAR_MINUTOS","707_SENTADO_HORAS","707_SENTADO_MINUTOS"
"005427","029","11","02","11","04","10","21","10","33","9","","","2","01","","7","","20","","70"
"005429","053","11","01","27","02","11","11","11","27","9","","","1","","30","3","","30","03",""
"005429","132","11","02","27","02","19","11","19","25","9","","","2","02","","7","","90","04",""
"005429","134","11","02","28","02","10","10","10","25","1","06","","6","","150","4","04","","","175"
"005442","041","11","01","07","03","10","45","10","57","9","","","4","10","","5","01","","","390"
"005442","066","11","02","07","03","16","02","16","12","9","","","7","04","","1","01","","06",""
"005447","182","11","01","20","03","15","41","15","45","9","","","3","03","","7","","30","02",""
"005447","182","11","02","19","03","10","00","10","06","9","","","7","02","","7","04","","03",""
"005460","050","11","02","26","03","17","45","17","55","9","","","9","","","2","","80","","410"
"005460","051","11","03","27","03","08","12","08","20","1","","30","3","","270","7","02","","","225"
"005472","056","11","03","30","10","13","20","13","30","9","","","7","04","","7","03","","","155"
"005473","103","11","03","26","10","08","00","08","10","9","","","9","","","7","","65","10",""
"005500","027","12","01","20","03","19","27","19","33","9","","","5","07","","5","01","","","340"
"005500","053","11","01","19","03","22","13","22","23","9","","","7","","150","7","01","","","410"
"005524","081","11","03","18","03","13","01","13","08","7","","75","7","02","","6","04","","04",""
"005539","015","11","04","25","10","21","10","21","18","9","","","6","","90","6","02","","","330"
"005567","061","11","04","04","04","17","50","18","05","9","","","3","","15","4","","30","","295"
"005567","100","12","01","05","04","08","15","08","22","9","","","9","","","7","02","","","254"
"005567","121","11","02","05","04","15","32","15","41","2","03","","7","","30","5","","90","08",""
"005622","102","11","03","09","05","09","17","09","20","9","","","2","","40","7","","40","07",""
"005622","131","11","01","09","05","07","20","07","30","9","","","9","","","6","01","","06",""
"005639","006","11","02","25","10","16","56","17","16","9","","","3","","15","9","","","","345"
"005677","013","11","01","29","10","08","23","08","34","6","03","","3","06","","9","","","","190"
"005677","044","11","03","27","10","16","58","17","11","3","","30","9","","","7","04","","","400"
"005681","043","11","01","25","10","14","10","14","20","9","","","7","","150","9","","","","210"
"005681","154","11","03","26","10","09","16","09","20","9","","","7","","60","7","","120","03",""
"005684","017","11","03","24","11","10","02","10","04","9","","","7","","15","3","","15","07",""
"005686","133","11","05","20","03","15","27","15","32","9","","","7","","75","2","","50","05",""
"005707","054","11","02","22","03","07","51","08","01","9","","","7","","100","9","","","","230"
"005707","054","11","08","20","03","09","05","09","15","9","","","4","02","","2","","10","06",""
"005738","085","11","02","27","03","15","53","16","01","9","","","7","","20","9","","","","330"
"005738","163","11","01","27","03","17","37","17","46","9","","","5","05","","9","","","06",""
"005767","101","11","01","01","05","07","29","07","36","9","","","5","03","","7","","90","02",""
"005767","102","11","01","04","05","16","30","16","36","9","","","7","08","","7","02","","02",""
"005767","102","11","02","04","05","17","00","17","08","2","06","","6","01","","7","03","","02",""
"005770","059","11","01","26","04","09","59","10","15","9","","","6","","210","6","01","","05",""
"005785","241","11","02","06","12","19","37","19","43","1","","20","7","04","","7","","130","","210"
"005785","267","11","02","05","12","16","49","16","58","9","","","7","","85","7","","150","","150"
"005792","052","11","04","17","04","09","40","09","49","1","","10","2","","25","9","","","","345"
"005792","145","11","02","21","04","09","40","09","48","1","01","","5","06","","5","01","","","130"
"005792","148","11","04","18","04","07","47","07","58","9","","","2","","90","7","","33","","795"
"005799","050","11","01","15","03","18","27","18","43","9","","","1","","110","9","","","03",""
"005799","067","11","01","15","03","18","32","18","42","6","","45","3","05","","7","02","","04",""
"005810","128","11","01","04","03","06","05","06","10","2","03","","9","","","6","07","","01",""
"005810","133","11","02","27","02","13","32","13","43","9","","","7","03","","1","01","","","160"
"005813","199","11","02","05","03","08","30","08","40","9","","","1","01","","9","","","03",""
"005813","219","11","02","06","03","10","20","10","30","4","","450","9","","","7","03","","","165"
"005862","043","11","01","18","04","16","44","16","53","9","","","9","","","7","","30","","440"
"005890","036","11","02","23","03","15","40","15","52","9","","","2","","45","3","","25","","320"
"005920","088","11","02","07","05","15","07","15","16","9","","","2","02","","9","","","03",""
"005925","079","11","01","05","05","11","27","11","35","9","","","7","","210","1","01","","04",""
"005925","188","11","01","05","05","06","29","06","50","9","","","6","04","","7","02","","","210"
"005933","034","11","01","29","11","09","26","09","31","3","07","","7","","27","5","03","","01",""
"005933","113","11","02","02","12","08","47","08","51","9","","","7","04","","3","","40","04",""
"005933","114","11","01","01","12","14","26","14","31","1","","30","1","04","","4","","50","05",""
"005937","074","11","02","14","04","16","18","16","32","9","","","6","06","","7","04","","03",""
"005937","078","11","02","15","04","09","25","09","46","1","","40","7","","270","3","","20","03",""
"005938","017","11","01","02","11","19","25","19","37","7","08","","1","02","","3","","90","","70"
"005940","129","11","02","15","03","08","10","08","19","9","","","7","02","","7","01","","05",""
"005940","239","11","01","17","03","07","53","08","03","9","","","7","","150","7","01","","08",""
"005940","239","11","03","15","03","10","29","10","39","9","","","9","","","1","02","","","450"
"005978","054","11","02","06","03","14","05","14","25","1","","20","7","01","","7","","170","","350"
"005978","156","11","01","10","03","20","46","21","01","7","","210","1","","30","7","","50","","270"
"005984","065","11","04","27","03","20","12","20","27","7","","30","2","06","","9","","","03",""
"005984","067","11","01","28","03","18","56","19","04","9","","","3","06","","7","","30","","210"
"005984","068","11","02","27","03","16","45","16","59","9","","","3","02","","7","","70","","160"
"006028","007","11","01","17","10","10","27","10","30","9","","","4","04","","3","03","","03",""
"006028","088","11","01","17","10","09","42","09","45","9","","","7","04","","1","","30","","30"
"006028","088","11","02","18","10","10","30","10","45","1","","15","7","","30","3","","45","03",""
"006032","012","11","03","18","10","20","50","20","55","3","02","","2","01","","6","03","","02",""
"006032","089","11","01","18","10","20","11","20","16","7","03","","7","05","","7","03","","05",""
"006034","069","11","01","24","11","08","33","08","39","9","","","9","","","5","","120","03",""
"006034","083","11","01","20","11","16","03","16","06","9","","","7","03","","7","02","","05",""
"006034","083","11","02","20","11","15","05","15","14","9","","","2","02","","2","03","","07",""
"006034","083","11","03","22","11","08","45","09","13","9","","","9","","","4","","90","06",""
"006034","083","11","06","23","11","09","19","09","31","3","03","","6","02","","6","07","","","140"
"006038","079","11","01","02","03","21","46","21","55","9","","","1","","25","7","","270","","412"
"006038","079","11","02","02","03","21","01","21","12","9","","","1","04","","6","","40","","820"
"006038","102","11","02","26","02","12","34","12","46","3","01","","7","","10","4","03","","03",""
"006042","030","12","02","01","03","08","25","08","31","9","","","6","03","","2","","15","","510"
"006042","030","22","01","02","03","14","46","15","01","9","","","4","03","","5","","130","","275"
"006042","043","11","02","01","03","06","39","06","59","9","","","6","03","","1","","45","","250"
"006042","110","11","01","01","03","10","02","10","10","3","02","","3","","15","5","08","","","330"
"006044","020","11","01","19","10","08","01","08","20","9","","","5","","90","3","","60","","90"
"006044","054","11","03","22","10","19","45","19","53","9","","","9","","","6","01","","08",""
"006044","071","11","04","17","10","21","30","21","40","9","","","3","","60","5","","30","08",""
"006048","078","11","03","18","10","10","00","10","07","9","","","9","","","7","01","","05",""
"006052","004","11","02","17","10","22","30","22","40","9","","","4","","30","4","","30","","80"
"006052","004","11","03","20","10","14","55","15","00","9","","","4","","50","5","","84","05",""
"006052","026","11","03","18","10","15","26","15","31","1","","10","1","01","","1","","50","10",""
"006052","070","11","06","18","10","06","46","06","55","9","","","4","05","","7","06","","01",""
"006052","073","11","02","17","10","11","45","11","50","9","","","5","02","","9","","","03",""
"006059","066","12","01","21","10","10","01","10","04","9","","","9","","","9","","","02",""
"006059","066","12","03","18","10","14","13","14","14","1","01","","9","","","2","","30","05",""
"006059","066","12","05","18","10","16","52","16","54","3","01","","9","","","9","","","03",""
"006060","014","11","02","24","10","11","30","11","38","9","","","9","","","6","","15","07",""
"006060","034","11","01","23","10","11","07","11","12","9","","","9","","","4","","20","06",""
"006060","034","11","04","25","10","12","08","12","16","3","01","","3","","15","4","","30","08",""
"006060","034","11","05","26","10","15","08","15","20","9","","","6","08","","6","01","","","90"
"006061","017","11","01","19","10","15","01","15","06","9","","","9","","","9","","","","30"
"006061","029","11","03","17","10","15","58","16","06","9","","","9","","","1","01","","10",""
"006061","041","11","02","19","10","12","03","12","13","9","","","3","","15","2","01","","04",""
"006061","077","11","01","19","10","18","12","18","19","4","04","","9","","","1","","15","09",""
"006061","101","11","02","18","10","15","39","15","45","2","01","","9","","","3","","90","","90"
"006063","051","11","02","18","10","10","51","10","55","9","","","2","","30","7","","10","03",""
"006064","001","11","02","21","10","05","25","05","42","9","","","9","","","5","","30","02",""
"006064","038","11","02","20","10","09","38","09","49","9","","","9","","","7","06","","04",""
"006065","003","11","02","13","12","22","16","22","25","9","","","6","06","","6","","75","04",""
"006065","031","11","01","12","12","18","46","18","56","9","","","6","04","","1","","45","06",""
"006065","073","11","02","11","12","11","43","11","49","9","","","1","01","","7","01","","04",""
"006065","087","11","04","14","12","19","30","19","38","9","","","7","04","","1","02","","06",""
"006065","113","11","04","17","12","14","01","14","17","2","01","","7","","90","2","","45","04",""
"006065","113","11","07","15","12","08","27","08","36","9","","","7","02","","7","03","","02",""
"006065","113","11","10","13","12","17","58","18","07","9","","","2","01","","2","","40","02",""
"006069","075","11","05","13","12","09","10","09","21","9","","","6","07","","9","","","03",""
"006070","002","11","02","17","12","08","05","08","13","9","","","7","03","","7","","20","","690"
"006070","063","11","01","13","12","10","18","10","28","1","","10","3","02","","6","","40","","250"
"006070","070","11","01","14","12","07","13","07","19","9","","","2","03","","9","","","","810"
"006070","070","11","02","14","12","07","00","07","05","9","","","6","08","","6","","15","05",""
"006078","014","11","01","19","10","16","58","17","09","9","","","4","","120","7","","170","","270"
"006078","044","11","01","16","10","15","53","15","59","9","","","9","","","7","","10","","120"
"006078","083","11","02","20","10","15","29","15","33","9","","","2","01","","7","","25","","30"
"006084","017","11","01","29","10","12","10","12","17","9","","","6","10","","7","01","","10",""
"006084","154","11","02","30","10","09","50","10","01","9","","","1","01","","3","01","","06",""
"006085","018","11","02","30","10","17","20","17","30","9","","","1","04","","4","01","","07",""
"006092","076","11","01","03","05","10","35","10","46","9","","","9","","","2","","20","","675"
"006092","094","11","02","30","04","11","13","11","26","9","","","9","","","7","","20","","290"
"006092","183","11","01","02","05","16","23","16","36","9","","","9","","","7","01","","14",""
"006095","019","11","01","05","05","07","58","08","10","2","","250","9","","","7","","45","","660"
"006095","019","11","04","05","05","10","19","10","30","9","","","9","","","7","","20","14",""
"006098","007","11","03","20","10","06","13","06","19","1","01","","9","","","5","","30","07",""
"006098","073","11","02","18","10","19","45","19","50","7","04","","7","02","","1","01","","03",""
"006098","140","11","01","17","10","09","22","09","27","9","","","1","","30","7","02","","05",""
"006098","140","11","02","18","10","16","02","16","06","9","","","1","01","","3","01","","","40"
"006098","155","11","05","21","10","12","45","12","47","3","02","","2","02","","2","02","","06",""
"006102","008","11","02","22","10","18","21","18","27","7","03","","3","","30","4","","30","08",""
"006102","057","11","05","16","10","07","40","07","43","2","04","","6","02","","1","","30","04",""
"006109","081","11","03","08","11","14","58","15","09","9","","","6","02","","7","","30","04",""
"006109","170","11","01","09","11","07","44","07","51","9","","","1","02","","6","","15","05",""
"006119","010","11","02","08","11","09","58","10","01","9","","","5","","30","9","","","03",""
"006119","042","11","02","08","11","12","25","12","30","9","","","9","","","6","","15","06",""
"006119","106","11","02","07","11","11","33","11","39","9","","","9","","","6","","20","02",""
"006119","137","11","02","06","11","10","36","10","46","9","","","9","","","2","","15","","15"
"006119","137","11","07","10","11","07","26","07","30","9","","","3","","12","1","","15","04",""
"006119","137","11","10","10","11","07","37","07","40","9","","","1","01","","7","","20","05",""
"006125","126","11","03","29","11","06","35","06","38","9","","","1","","15","1","","10","03",""
"006125","142","11","02","28","11","08","21","08","25","9","","","9","","","5","","30","03",""
